Crash ID,Record Type,Vehicle ID,Participant ID,Participant Display Seq#,Vehicle Coded Seq#,Participant Vehicle Seq#
1837205,3,3459999,3941641,2,2,1
1837205,3,3460000,3941642,3,3,1
1837283,3,3460139,3941801,1,1,1
1837283,3,3460140,3941802,2,2,1
1837334,3,3460235,3941905,1,1,1
1837334,3,3460236,3941906,2,2,1
1837334,3,3460236,3941907,3,2,2
1837497,3,3460535,3942247,1,1,1
1837497,3,3460536,3942248,2,2,1
1837497,3,3460536,3942249,3,2,2
1837551,3,3460634,3942361,1,1,1
1837808,3,3461130,3942959,1,1,1
1837808,3,3461131,3942960,2,2,1
1837834,3,3461179,3943018,1,1,1
1837834,3,3461180,3943019,2,2,1
1838047,3,3461582,3943495,1,1,1
1838047,3,3461583,3943496,2,2,1
1838362,3,3462197,3944199,1,1,1
1838362,3,3462198,3944200,2,2,1
1838362,3,3462199,3944201,3,3,1
1838375,3,3462221,3944232,1,1,1
1838375,3,3462222,3944233,2,2,1
1838403,3,3462273,3944292,1,1,1
1838434,3,3462326,3944352,1,1,1
1838434,3,3462327,3944353,2,2,1
1838434,3,3462328,3944354,3,3,1
1838471,3,3462400,3944435,1,1,1
1838549,3,3462564,3944629,1,1,1
1838549,3,3462564,3944630,2,1,2
1838549,3,3462564,3944631,3,1,3
1838549,3,3462564,3944632,4,1,4
1838549,3,3462565,3944633,5,2,1
1838681,3,3462829,3944936,1,1,1
1838681,3,3462830,3944937,2,2,1
1839606,3,3464706,3947145,1,1,1
1839606,3,3464707,3947146,2,2,1
1839606,3,3464707,3947147,3,2,2
1839856,3,3465226,3947753,1,1,1
1839856,3,3465227,3947754,2,2,1
1839856,3,3465227,3947755,3,2,2
1840093,3,3465681,3948288,1,1,1
1840093,3,3465682,3948289,2,2,1
1840093,3,3465682,3948290,3,2,2
1840135,3,3465768,3948381,1,1,1
1840135,3,0,3948382,2,,1
1840155,3,3465807,3948428,1,1,1
1840155,3,3465808,3948429,2,2,1
1840155,3,3465809,3948430,3,3,1
1840221,3,3465946,3948582,1,1,1
1840221,3,3465947,3948583,2,2,1
1840221,3,3465948,3948584,3,3,1
1840265,3,3466033,3948689,1,1,1
1840265,3,3466034,3948690,2,2,1
1840265,3,3466035,3948691,3,3,1
1840295,3,3466095,3948764,1,1,1
1840295,3,3466095,3948765,2,1,2
1840295,3,3466096,3948766,3,2,1
1840424,3,3466338,3949049,1,1,1
1840424,3,3466339,3949050,2,2,1
1840424,3,3466340,3949051,3,3,1
1840563,3,3466599,3949377,1,1,1
1840563,3,3466600,3949378,2,2,1
1840563,3,3466601,3949379,3,3,1
1840563,3,3466601,3949380,4,3,2
1840583,3,3466641,3949427,1,1,1
1840583,3,3466642,3949428,2,2,1
1840588,3,3466650,3949437,1,1,1
1840588,3,3466650,3949438,2,1,2
1840588,3,3466651,3949439,3,2,1
1840610,3,3466689,3949496,1,1,1
1840610,3,3466690,3949497,2,2,1
1840614,3,3466696,3949503,1,1,1
1840614,3,3466697,3949504,2,2,1
1840664,3,3466791,3949619,1,1,1
1840664,3,3466792,3949620,2,2,1
1840680,3,3466822,3949657,1,1,1
1840832,3,3467103,3949998,1,1,1
1840832,3,3467104,3949999,2,2,1
1840874,3,3467180,3950095,1,1,1
1840874,3,0,3950096,2,,1
1840874,3,0,3950097,3,,2
1840905,3,3467237,3950157,1,1,1
1840905,3,3467238,3950158,2,2,1
1841009,3,3467426,3950377,1,1,1
1841009,3,3467427,3950378,2,2,1
1841009,3,3467427,3950379,3,2,2
1841009,3,3467427,3950380,4,2,3
1841009,3,3467427,3950381,5,2,4
1841013,3,3467433,3950388,1,1,1
1841013,3,3467434,3950389,2,2,1
1841019,3,3467444,3950401,1,1,1
1841019,3,3467445,3950402,2,2,1
1841052,3,3467508,3950472,1,1,1
1841052,3,3467508,3950473,2,1,2
